Id	LogicId	Description	ImpactType	ImpactTime	BuffDataId	MaxRank	Effect	ActionId	IsDeadDisappear	CanBeCancel	IsAbsorbHurt	IsReflect	IsDamageDisappear	IsFightDisappear	IsShootDisappear	IsSkillDisappear	ParamNum	ParamDesc0	Param0	ParamDesc1	Param1	ParamDesc2	Param2	ParamDesc3	Param3	ParamDesc4	Param4	ParamDesc5	Param5	ParamDesc6	Param6	ParamDesc7	Param7
141103	1	剑士空斩3	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-110	怒气值	1										
141104	1	剑士空斩4	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-135	怒气值	1										
141105	1	剑士空斩5	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-150	怒气值	1										
141106	1	剑士空斩6	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-170	怒气值	1										
142101	1	三连突	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-250	怒气值	1										
170101	1	ex段1	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		2	延时	0	HP伤害	-50												
170102	1	ex段2	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		2	延时	0	HP伤害	-350												
170103	1	ex段3	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		2	延时	0	HP伤害	-350												
180001	2	无敌	1	6000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE																		
#剑士消耗																																	
170104	1	ex消耗	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	-100										
110111	1	冲锋	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	0										
120111	1	神鬼斩	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	0										
121111	1	烈刃狂斩	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	0										
122111	1	蓄力重斩	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	0										
130111	1	火焰拳	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	0										
131111	1	火焰拖曳	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	0										
132111	1	火焰爆破	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	0										
140111	1	挑空	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	0										
141111	1	剑士空斩	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	0										
142111	1	三连突	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	0	怒气值	0										
#枪手效果																																	
200011	1	枪手1	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-10	怒气值	1										
200012	1	枪手2	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-50	怒气值	1										
200013	1	枪手3	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-100	怒气值	1										
200014	1	枪手4	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-1000	怒气值	1										
#npc效果																																	
300011	1	bluelf devil blade	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-66	怒气值	1										
300012	1	bluelf devil hit	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-66	怒气值	1										
300021	1	bluelf devil spear	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-82	怒气值	1										
300031	1	bluelf boss hit	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-393	怒气值	1										
300032	1	bluelf whirlwind	1	30000	0	0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		3	延时	0	HP伤害	-176	怒气值	1										
